,City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
72,2270385,Camacha,20,PT,1612115586,77,33.0833,-16.3333,62.6,8.05
73,1862505,Hirara,55,JP,1612115586,69,24.8,125.2833,67.62,17.45
74,6255012,Flinders,99,AU,1612115586,90,-34.5833,150.8552,68.0,1.01
75,4362001,Mayo,90,US,1612115586,100,38.8876,-76.5119,30.99,9.22
76,500184,Ryabovo,90,RU,1612115586,93,59.4,31.1333,24.8,8.95
77,2152659,Port Macquarie,67,AU,1612115330,99,-31.4333,152.9167,69.01,4.09
78,3374462,Mindelo,20,CV,1612115586,65,16.8901,-24.9804,77.0,27.63
79,5546220,Saint George,1,US,1612115587,86,37.1041,-113.5841,46.0,4.43
80,5411479,Alamosa,1,US,1612115587,63,37.4695,-105.87,19.4,2.73
81,1015776,Bredasdorp,37,ZA,1612115587,92,-34.5322,20.0403,66.99,5.01
82,1855540,Naze,5,JP,1612115529,64,28.3667,129.4833,58.24,9.66
83,3903342,Tarata,3,BO,1612115587,39,-17.6167,-66.0167,71.01,17.0
84,964420,Port Elizabeth,0,ZA,1612115587,78,-33.918,25.5701,71.6,12.66
85,2075265,Busselton,0,AU,1612115587,81,-33.65,115.3333,63.0,1.01
86,3430863,Mar del Plata,90,AR,1612115542,67,-38.0023,-57.5575,66.99,14.97
87,2094342,Kavieng,98,PG,1612115587,81,-2.5744,150.7967,83.1,10.96
88,3347719,Luena,77,AO,1612115587,87,-11.7833,19.9167,65.89,3.22
89,1649150,Bengkulu,100,ID,1612115588,85,-3.8004,102.2655,75.85,5.1
90,610298,Beyneu,71,KZ,1612115588,83,45.3167,55.2,36.57,11.25
91,3648546,Barinas,63,VE,1612115588,40,8.6226,-70.2075,91.89,7.07
92,1214026,Sabang,90,ID,1612115588,76,5.8933,95.3214,81.68,20.62
93,3374210,São Filipe,4,CV,1612115589,62,14.8961,-24.4956,76.1,10.09
94,1731248,Alugan,81,PH,1612115589,82,12.2188,125.4808,78.35,16.08
95,5855051,‘Ewa Beach,40,US,1612115589,83,21.3156,-158.0072,71.6,3.44
96,1489401,Toora-Khem,34,RU,1612115589,84,52.4675,96.11,-20.51,1.81
97,3424607,Tasiilaq,75,GL,1612115589,49,65.6145,-37.6368,17.6,1.14
98,4020109,Atuona,38,PF,1612115589,75,-9.8,-139.0333,78.24,18.07
99,2126123,Chokurdakh,18,RU,1612115589,85,70.6333,147.9167,-28.61,10.54
100,301010,Seydişehir,76,TR,1612115590,82,37.4193,31.8453,36.81,4.52
101,2112309,Katsuura,75,JP,1612115590,45,35.1333,140.3,42.8,8.05
102,2278158,Buchanan,75,LR,1612115590,79,5.8808,-10.0467,84.2,10.36
103,1529102,Ürümqi,40,CN,1612115590,85,43.801,87.6005,1.4,3.83
