,City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
73,3471451,Arraial do Cabo,0,BR,1612117214,51,-22.9661,-42.0278,86.0,23.02
74,5955902,Fort Nelson,75,CA,1612117263,76,58.8053,-122.7002,-14.8,2.3
75,3833367,Ushuaia,75,AR,1612116924,58,-54.8,-68.3,53.6,3.44
76,4837648,Ledyard Center,1,US,1612117263,45,41.4398,-72.0142,24.01,4.61
77,1855540,Naze,5,JP,1612117263,64,28.3667,129.4833,58.24,9.66
78,3361934,Saldanha,41,ZA,1612117073,89,-33.0117,17.9442,66.49,6.42
79,6162949,Terrace,90,CA,1612117263,86,54.5163,-128.6035,24.8,20.71
80,4031742,Egvekinot,100,RU,1612117142,86,66.3167,-179.1667,-13.5,17.11
81,2120591,Tilichiki,100,RU,1612117110,91,60.4667,166.1,-9.69,19.26
82,3372472,Vila Franca do Campo,75,PT,1612117256,88,37.7167,-25.4333,64.0,16.11
83,934322,Mahébourg,40,MU,1612117040,78,-20.4081,57.7,80.6,12.66
84,218680,Boende,99,CD,1612117264,78,-0.2167,20.8667,77.2,2.37
85,5272899,Sheboygan,90,US,1612117219,86,43.7333,-87.9334,30.2,19.57
86,964420,Port Elizabeth,0,ZA,1612117264,83,-33.918,25.5701,69.8,13.8
87,3652764,Puerto Ayora,0,EC,1612117264,70,-0.7393,-90.3518,84.2,8.05
88,2021188,Kurumkan,51,RU,1612117264,75,54.3,110.3,-21.84,3.91
89,3893629,Coquimbo,20,CL,1612117077,68,-29.9533,-71.3436,71.6,17.27
90,4726521,San Patricio,1,US,1612117265,27,28.017,-97.5169,77.0,14.97
91,2867543,Münster,0,DE,1612117265,74,51.9624,7.6257,32.0,4.61
92,780687,Berlevåg,75,NO,1612117265,93,70.8578,29.0864,26.6,4.61
93,5367788,Lompoc,1,US,1612117118,81,34.6391,-120.4579,53.01,8.05
94,5928065,Cornwall,1,CA,1612117265,56,45.0181,-74.7281,10.4,11.5
95,2012530,Zhigansk,23,RU,1612117045,75,66.7697,123.3711,-44.93,3.31
96,1586185,Cao Bang,90,VN,1612117265,88,22.6667,106.25,61.05,2.21
97,5861897,Fairbanks,90,US,1612116965,84,64.8378,-147.7164,-5.8,0.38
98,6170031,Tuktoyaktuk,75,CA,1612117043,75,69.4541,-133.0374,-31.0,2.3
99,922806,Kipushi,100,CD,1612117266,93,-11.7667,27.2333,65.89,3.8
100,2510573,Teguise,20,ES,1612117266,68,29.0605,-13.564,68.0,32.21
